Liga_origen,Tipo,Clusters,ARI_vs_LaLiga,Separaciones_por_cluster,Total_separados,Equipos_origen
Femenino,Por 90 min,3,0.7506678539626002,"{1: 0, 2: 2, 3: 0}",2,16
Femenino,Normalizado,4,0.669181659895531,"{1: 1, 2: 0, 3: 0, 4: 0}",1,16
Bundesliga,Por 90 min,4,0.35878564857405704,"{1: 1, 2: 0, 3: 1, 4: 3}",5,18
Bundesliga,Normalizado,3,0.9469302809573361,"{1: 0, 2: 0, 3: 0}",0,18
Ligue 1,Por 90 min,3,0.39890360895386023,"{1: 3, 2: 1, 3: 0}",4,18
Ligue 1,Normalizado,2,0.7771781033153431,"{1: 0, 2: 1}",1,18
Serie A,Por 90 min,5,0.48377358490566036,"{1: 0, 2: 0, 3: 2, 4: 1, 5: 0}",3,20
Serie A,Normalizado,3,0.902073072958424,"{1: 0, 2: 0, 3: 1}",1,20
Premier League,Por 90 min,3,0.5261308241695953,"{1: 0, 2: 2, 3: 0}",2,20
Premier League,Normalizado,3,0.5306007860752386,"{1: 1, 2: 0, 3: 0}",1,20
