liga,k,Silhouette,Calinski-Harabasz,Davies-Bouldin,Best_Silhouette,Best_CH,Best_DBI
GLOBAL,2,0.33334993362833243,185.8472423942437,0.9689454126428438,True,False,False
GLOBAL,3,0.33164436577194956,213.1154728884839,0.9246067866902049,False,True,True
GLOBAL,4,0.2572763771949764,195.2690108129246,1.1616200647368307,False,False,False
GLOBAL,5,0.21147416702746688,173.21193587790404,1.3367041152382426,False,False,False
GLOBAL,6,0.2113708576670369,156.23288990088727,1.309212349880373,False,False,False
GLOBAL,7,0.20998432230267391,145.56543702541248,1.2317047672924364,False,False,False
GLOBAL,8,0.1896690128250051,137.2205642624236,1.2233618679647498,False,False,False
Premier League,2,0.41225746309060984,14.757078842309062,0.6317378092575291,True,False,True
Premier League,3,0.3922350683341765,22.7793283293044,0.7113413920334316,False,False,False
Premier League,4,0.3464482493653379,23.08966029816399,0.8758098190903183,False,True,False
Premier League,5,0.3284401260380367,21.540141294640044,0.7676077624862667,False,False,False
Premier League,6,0.3251772203174415,22.46468590070122,0.7847077839962514,False,False,False
Premier League,7,0.3058159551013194,21.030506471817162,0.7616649438658055,False,False,False
Premier League,8,0.3130898948966529,20.089086749945704,0.6604531440201917,False,False,False
Serie A,2,0.5524036126957065,40.91606643253606,0.5970617922072946,True,True,True
Serie A,3,0.4556800591876306,30.36338539272101,0.6708527449930667,False,False,False
Serie A,4,0.3565419719651779,25.65287002686891,0.7728216720447234,False,False,False
Serie A,5,0.3628688305355688,24.19713751305873,0.6314451473048299,False,False,False
Serie A,6,0.3213353770684388,26.2404556196125,0.7777618272418799,False,False,False
Serie A,7,0.3206032593853393,25.650073470344502,0.6701267707187645,False,False,False
Serie A,8,0.2809647301119052,26.043347642698066,0.723333082828449,False,False,False
Ligue 1,2,0.4936854388731575,25.45013194564466,0.6992347594190622,False,False,False
Ligue 1,3,0.49762934528298686,35.887299730239086,0.5421150177081722,True,False,True
Ligue 1,4,0.3858215287388258,38.237201713798946,0.7295905114791059,False,True,False
Ligue 1,5,0.37700328153126006,35.379771962208665,0.7379085156987931,False,False,False
Ligue 1,6,0.31646015873907934,32.75098149518933,0.7651655101193243,False,False,False
Ligue 1,7,0.26975242731177174,32.860766507595734,0.6379892196162075,False,False,False
Ligue 1,8,0.26020476295424166,36.012886639235596,0.5955833589234414,False,False,False
Bundesliga,2,0.5878179531161081,31.250791628338057,0.5858753580254206,True,False,True
Bundesliga,3,0.40058135781487136,27.434731954041748,0.7790792680322028,False,False,False
Bundesliga,4,0.41983344248065313,36.805325148275465,0.5945137789382757,False,True,False
Bundesliga,5,0.34817760330639463,32.60171636147422,0.8001014430534381,False,False,False
Bundesliga,6,0.29105491372846465,31.289516676330056,0.8542773314792346,False,False,False
Bundesliga,7,0.3014408304155267,31.451602576642987,0.6745245848281112,False,False,False
Bundesliga,8,0.2581003057482575,30.3932267017244,0.5988601629816568,False,False,False
La Liga,2,0.3794814138176205,142.70273916298746,0.9458348606996267,True,True,False
La Liga,3,0.3286741449102907,134.0725393370294,0.8913956721348549,False,False,True
La Liga,4,0.27135585764032955,139.36191881761408,1.0832606588229785,False,False,False
La Liga,5,0.23458530963752383,123.69597001396414,1.181498896120012,False,False,False
La Liga,6,0.21696401485217037,115.18025310773264,1.2793050521089941,False,False,False
La Liga,7,0.21467594920904604,112.43473856187114,1.148844979849096,False,False,False
La Liga,8,0.22014835383934095,107.83365779856003,1.164260707271343,False,False,False
Femenino,2,0.4166512893459342,15.985991200682184,0.7287309635151695,False,False,False
Femenino,3,0.43123967157524207,27.03622263415392,0.5310912594160786,True,False,False
Femenino,4,0.3994744109364993,30.110294123551043,0.5161030880007611,False,False,True
Femenino,5,0.4060257884685275,42.792609771174256,0.5524595037524007,False,False,False
Femenino,6,0.33499891505988716,43.28557434355719,0.6389744820047872,False,False,False
Femenino,7,0.31664875925534364,43.32398211721936,0.652927707145091,False,True,False
Femenino,8,0.2672977348511847,40.61265545846544,0.5961105839630869,False,False,False
